ticker,first_date,last_date,n_observations,missing_ratio
AAPL,2018-01-02,2025-12-30,2010,0.0
ABBV,2018-01-02,2025-12-30,2010,0.0
ADBE,2018-01-02,2025-12-30,2010,0.0
AMZN,2018-01-02,2025-12-30,2010,0.0
BAC,2018-01-02,2025-12-30,2010,0.0
COST,2018-01-02,2025-12-30,2010,0.0
CRM,2018-01-02,2025-12-30,2010,0.0
CSCO,,,0,1.0
CVX,2018-01-02,2025-12-30,2010,0.0
DIS,2018-01-02,2025-12-30,2010,0.0
GOOGL,2018-01-02,2025-12-30,2010,0.0
HD,2018-01-02,2025-12-30,2010,0.0
INTC,2018-01-02,2025-12-30,2010,0.0
JNJ,2018-01-02,2025-12-30,2010,0.0
JPM,2018-01-02,2025-12-30,2010,0.0
KO,2018-01-02,2025-12-30,2010,0.0
MA,2018-01-02,2025-12-30,2010,0.0
META,2018-01-02,2025-12-30,2010,0.0
MRK,2018-01-02,2025-12-30,2010,0.0
MSFT,2018-01-02,2025-12-30,2010,0.0
NFLX,2018-01-02,2025-12-30,2010,0.0
NVDA,2018-01-02,2025-12-30,2010,0.0
PEP,2018-01-02,2025-12-30,2010,0.0
PG,2018-01-02,2025-12-30,2010,0.0
T,2018-01-02,2025-12-30,2010,0.0
TSLA,2018-01-02,2025-12-30,2010,0.0
UNH,2018-01-02,2025-12-30,2010,0.0
V,2018-01-02,2025-12-30,2010,0.0
WMT,2018-01-02,2025-12-30,2010,0.0
XOM,2018-01-02,2025-12-30,2010,0.0
