Ticker,mu
AAPL,0.0016533068320362448
ABBV,0.0007243344631816662
ADBE,0.001228322504350087
AMZN,0.001228077739079795
BAC,0.0006917973100478818
COST,0.0011317298730635526
CRM,0.0010884806820478494
CSCO,0.0008464511164159152
CVX,0.00037178244292941626
DIS,0.00035685604007432896
GOOGL,0.0011209207206026369
HD,0.0010937398861926649
INTC,0.0006730112813315437
JNJ,0.0004134964766746093
JPM,0.0005702139275888759
KO,0.0006162615530618602
MA,0.0009635352862967181
META,0.000997439548148594
MRK,0.0005581468598653845
MSFT,0.0015197500484485525
NFLX,0.0014104219118644824
NVDA,0.0024350461092628633
PEP,0.0005847590432816626
PG,0.0006497323205027491
T,5.913439583190959e-05
TSLA,0.0036277115212280816
UNH,0.0009330325444556131
V,0.000731241653679744
WMT,0.00047080993255106836
XOM,5.731688051835052e-05
