strategy,transaction_cost_bps,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,average_turnover
Equal Weight,0,0.9685587165365741,0.2547898509730844,0.12486229551674766,2.0405667693247693,-0.14046429076681433,0.07243815751274997
QP,0,0.40437955350804655,0.12052873116752827,0.10015699875782913,1.203397991776453,-0.08365398194954232,0.16107650885091956
SOCP,0,0.6117193881268204,0.17344843801342424,0.12805315891316724,1.3545033912911084,-0.13402363846461596,0.33151652989697106
Equal Weight,5,0.9658518933792557,0.25421140361720607,0.12486459109590502,2.0358966572192863,-0.14050971743246898,0.07243815751274997
QP,5,0.4000894514796014,0.11938049718406152,0.1001582756570505,1.19191845507434,-0.0837265969378469,0.16107650885091956
SOCP,5,0.6015913115592304,0.17097219212739834,0.1280762007621893,1.33492554518273,-0.1343203315207303,0.33151652989697106
Equal Weight,10,0.9631482543537626,0.2536331078295777,0.12486761196216213,2.031216132382147,-0.14055514299726146,0.07243815751274997
QP,10,0.3958117946678885,0.11823326258479261,0.10016109547842675,1.1804310048731281,-0.08379921192615047,0.16107650885091956
SOCP,10,0.591524714613126,0.1685006389206143,0.12810264635547366,1.3153564248238847,-0.13461697410374873,0.33151652989697106
Equal Weight,20,0.9577505151152172,0.2524769706776233,0.12487582933279329,2.0218241754757345,-0.14064599082426,0.07243815751274997
QP,20,0.3872936791974064,0.1159417884510261,0.10017136329514899,1.1574344666689869,-0.08394444190275874,0.16107650885091956
SOCP,20,0.5715745203169111,0.16357157874622685,0.12816574007574286,1.2762504133285542,-0.13521010785049803,0.33151652989697106
