,mu
AAPL,0.0016532616279885098
ABBV,0.0007243477670070792
ADBE,0.0012281989772306879
AMZN,0.001228128069989681
BAC,0.0006915832340555471
COST,0.0011318645395335244
CRM,0.0010884065972947955
CVX,0.0003716535100577321
DIS,0.0003568159691816201
GOOGL,0.001121023207120453
HD,0.0010938359570424787
INTC,0.0006729450132996984
JNJ,0.00041346701449258735
JPM,0.0005701635715718502
KO,0.0006162807997680751
MA,0.0009634117131007003
META,0.000997883203828612
MRK,0.0005581517955620607
MSFT,0.0015196525969577456
NFLX,0.0014103553069911218
NVDA,0.002435109208127846
PEP,0.0005846828493607134
PG,0.0006499304485144169
T,5.9252306608447705e-05
TSLA,0.003627856536757812
UNH,0.0009328370968105874
V,0.0007313828051236773
WMT,0.0004708285700384427
XOM,5.752572007172245e-05
